objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
53197,2015.300.21,Unidentified artist,"The Poets Henjō and Jichin, from Stylus-Illustrated Competition of Poets of Different Periods (Mokuhitsu jidai fudō uta awase-e)",mid-14th century,"Fragment of a handscroll, mounted as a hanging scroll; ink on paper","Image: 12 5/16 in. × 21 in. (31.2 × 53.3 cm)
Overall with mounting: 48 1/4 × 26 5/16 in. (122.5 × 66.9 cm)
Overall with knobs: 48 1/4 × 28 9/16 in. (122.5 × 72.5 cm)",31.2,53.3,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-12232-018.jpg
53205,2000.289,,Mandala of the Bodhisattva Hannya (Prajnaparamita),14th century,"Hanging scroll; ink, color, gold, and gold foil on silk","Image: 64 1/2 x 48 5/8 in. (163.8 x 123.5 cm)
Overall with painted mounting: 83 1/4 x 57 3/4 in. (211.5 x 146.7 cm)
Overall with mounting: 126 x 65 1/16 in. (320 x 165.2 cm)
Overall with knobs: 126 x 69 11/16 in. (320 x 177 cm)",163.8303,123.5077,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT209331.jpg
53226,"2015.300.52a, b",Kantei,Two Views from the Eight Views of the Xiao and Xiang Rivers,early 16th century,Pair of hanging scrolls; ink and color on paper,"Image (a): 18 1/16 × 11 3/4 in. (45.8 × 29.9 cm)
Overall with mounting (a): 51 15/16 × 16 3/8 in. (132 × 41.6 cm)
Overall with knobs (a): 51 15/16 × 18 1/8 in. (132 × 46 cm)
Image (b): 18 1/8 × 11 3/4 in. (46 × 29.9 cm)
Overall with mounting (b): 52 1/16 × 16 5/16 in. (132.2 × 41.5 cm)
Overall with knobs (b): 52 1/16 × 18 1/8 in. (132.2 × 46 cm)",45.8,29.9,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP700764_crd.jpg
53233,2015.300.67,Kano Motonobu,Bo Ya Plays the Qin as Zhong Ziqi Listens,1530s,Hanging scroll; ink and color on paper,"Image: 65 1/16 × 34 1/4 in. (165.2 × 87 cm)
Overall with mounting: 8 ft. 10 7/8 in. × 40 13/16 in. (271.5 × 103.7 cm)
Overall with knobs: 8 ft. 10 7/8 in. × 43 3/16 in. (271.5 × 109.7 cm)",165.2,87.0,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP700757.jpg
53237,"2015.300.68a, b",Kano Shōei,Pheasants among Trees: Flowers of the Four Seasons,probably 1560s,"Pair of hanging scrolls; ink, color, and gold on paper","Image (a): 37 3/8 × 18 3/8 in. (95 × 46.6 cm)
Overall with mounting (a): 84 3/4 × 26 5/8 in. (215.2 × 67.6 cm)
Overall with knobs (a): 84 3/4 × 28 15/16 in. (215.2 × 73.5 cm)
Image (b): 37 3/8 × 18 3/8 in. (95 × 46.6 cm)
Overall with mounting (b): 84 15/16 × 26 5/8 in. (215.8 × 67.7 cm)
Overall with knobs (b): 84 15/16 × 28 15/16 in. (215.8 × 73.5 cm)",95.0,46.6,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP361140.jpg
53405,"2015.300.202a, b",Genki (Komai Ki),Yanji with Orchids and Yang Guifei with Peonies,1785,Pair of hanging scrolls; ink and color on silk,"Image (a): 43 3/16 × 21 15/16 in. (109.7 × 55.8 cm)
Overall with mounting (a): 78 7/8 × 27 1/16 in. (200.3 × 68.8 cm)
Overall with knobs (a): 78 7/8 × 29 5/16 in. (200.3 × 74.4 cm)
Image (b): 43 3/16 × 21 15/16 in. (109.7 × 55.7 cm)
Overall with mounting (b): 78 7/8 × 27 1/8 in. (200.3 × 68.9 cm)
Overall with knobs (b): 78 7/8 × 29 5/16 in. (200.3 × 74.5 cm)",109.7,55.8,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-15662-001.jpg
53406,"2015.300.206.1, .2",Matsumura Goshun,Woodcutters and Fishermen,ca. 1790–95,Pair of six-panel folding screens; ink and color on paper,"Image (each): 65 15/16 in. × 12 ft. 2 7/16 in. (167.5 × 372 cm)
Overall with mounting: 67 1/2 in. × 12 ft. 4 in. (171.5 × 376 cm)",167.5,372.0,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-13582-001.jpg
53422,2015.300.89,Ogata Kōrin,Hotei,after 1704,Hanging scroll; ink on paper,"Image: 11 1/4 × 14 1/2 in. (28.5 × 36.8 cm)
Overall with mounting: 41 3/4 × 19 9/16 in. (106 × 49.7 cm)
Overall with knobs: 41 3/4 in. × 21 5/8 in. (106 × 54.9 cm)",28.5,36.8,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-12232-076.jpg
53427,2015.300.100a–f,Sakai Ōho,Six Jewel Rivers,ca. 1839,"Six handscrolls; ink, color, and gold on silk","Overall (a): 3 9/16 x 46 7/16 in. (9 x 118 cm)
Overall (b): 3 9/16 x 46 15/16 in. (9 x 119.2 cm)
Overall (c): 3 1/2 x 46 7/16 in. (8.9 x 118 cm)
Overall (d): 3 9/16 x 48 13/16 in. (9 x 124 cm)
Overall (e): 3 5/8 x 46 1/2 in. (9.2 x 118.1 cm)
Overall (f): 3 1/2 x 46 7/8 in. (8.9 x 119.1 cm)",9.2,118.1,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT372445.jpg
53443,2015.300.118,Kaigetsudō Ando,Standing Courtesan,early 18th century,"Hanging scroll, mounted as panel; ink and color on paper","Image: 40 15/16 × 16 5/8 in. (104 × 42.2 cm)
Overall with mounting: 44 7/8 × 20 1/2 in. (114 × 52 cm)",104.0,42.227585,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-13180-010.jpg
